"","iso","ghg_ambition_n","new_pm_n","change_cond","cw_2030","year1","year2","gdp_pc","polyarchy","participdem","dem_change","dem_change_d","polity","v2x_frassoc_thick","v2x_cspart","v2cscnsult","v2csreprss","stake_consult","consult_index","qog_2020","first_soc","last_soc","pol_change","right_change","first","last","ideo_change","any_elect","any_change","gdp_growth","long_gdp_growth","unemployment","year","co2pc","gain","pre_rents","post_rents","change_rents","pre_fossil","post_fossil","change_fossil","pre_affect","post_affect","change_affect","pre_cfinance","post_cfinance","change_cfinance","paris_support","protect_env","region","log_gdp_pc"
"106","ZMB",0,0,1,0,2016,2021,1338.29092708188,0.398,0.258,-0.019,0,6,0.688,0.694,1.116,0.568,1,0.509835287852138,0.41898149,0,0,0,0,0,0,"no change",1,0,-5.55028325872323,-1.45136446466172,6.03000020980835,2018,0.446065443448411,0.549443540423384,11.4894419285823,10.6817109732995,-0.807730955282848,0.0128729706769284,0.0413190322636409,3.05046649698613,0.01471456746098,0.00959766222242917,0.67438459561446,0.000583747625838793,0.000849767762844592,0.000266020137005799,NA,NA,4,7.19914865134415
"107","ZWE",1,0,0,1,2017,2021,1445.06970213198,0.298,0.219,-0.017,0,4,0.618,0.573,-0.976,-0.776,1,-1.1910473334879,0.34722221,0.375,0.25,1,0,0,0,"no change",1,0,-7.62038819104805,-7.46862686012715,NA,2018,0.849792905399696,0.516912092759957,7.61216140217938,3.90388738615766,-3.70827401602173,0.997828260720599,0.311589733034552,0.312956436383804,0.00153684088002243,0.00461210778238436,2.21224272542263,0.0000491925989268889,0.000182306671487444,0.000133114072560556,NA,NA,4,7.27591283615271
"108","TJK",1,0,0,0,2017,2021,978.404981180605,0.171,0.058,0.013,1,-3,0.165,0.202,-1.923,-1.242,1,-1.96099754496448,NA,0,0,0,0,3,3,"no change",0,0,2.12659470706988,4.86305682399173,NA,2018,0.805419539521981,0.361268719901955,0.997583978892878,3.80759597282203,2.81001199392916,0.262061358277067,0.389856784642871,1.48580083066098,0.0083963079230186,0.000204409016129342,0.128178964120454,0.0012446935805479,0.00188784878013948,0.000643155199591575,NA,NA,1,6.88592367550944
"109","TZA",0,1,0,0,2018,2021,871.998281361226,0.385,0.247,-0.025,0,3,0.645,0.773,0.697,0.383,1,0.169170938740534,0.45601851,0.5,0.5,0,0,3,3,"no change",1,0,-0.95017651764438,2.71933648559543,2.77999997138977,2018,0.20563473262264,0.499199612749496,7.08651483957254,2.75166720666153,-4.33484763291101,0.205784829156179,0.172280126288552,0.8379731095151,0.00054742108514574,0.005942536766946,4.48652072379648,0.000539045577330407,0.000401750857472699,-0.000137294719857708,0.902,NA,4,6.77078745299101
"110","THA",0,0,0,0,2016,2020,5840.05306687798,0.149,0.08,0.052,1,-3,0.138,0.553,0.073,-1.225,1,-0.338166898599898,0.41666666,0,0,0,0,0,0,"no change",1,0,1.97689245743686,3.86148228881737,0.720000028610229,2018,3.71403920358071,0.457569648430911,1.81033645327962,1.78398750330765,-0.0263489499719751,2.23826737928127,1.08977538271336,0.487112612279229,0.0156779222749279,0.0106174711378724,0.69657784383233,0.000035217138340069,0.000128958204739102,0.0000937410663990333,NA,NA,7,8.67249516257516
"111","TGO",1,0,0,1,2017,2021,570.909967175308,0.451,0.166,-0.083,0,-2,0.64,0.715,0.276,-0.149,1,-0.173119493183059,0.27777779,0.143,0,1,0,0,0,"no change",1,0,-0.660830190764798,2.93818166189259,NA,2018,0.286471388670057,0.409192655845158,10.5502949621923,6.58884565734055,-3.96144930485177,0,0,1,0.00588837955946476,0.00344255409973768,0.644934568629211,0.000310758359866553,0.000880372992597014,0.000569614632730461,NA,NA,4,6.3472315215239
"112","TON",1,0,0,0,2016,2020,4336.23960272654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,-0.517228592727164,-0.863365350326134,NA,2018,1.84110311146426,0.544697845512927,0.0493147821145958,0.0434636869702909,-0.00585109514430491,0,0,1,0.0194776194560872,0.213806665513114,10.4898260256155,0.0034591117714905,0.00772113986445901,0.00426202809296851,NA,NA,9,8.37476280052416
"113","TUN",1,0,0,1,2017,2021,3861.69240015155,0.727,0.403,-0.171,0,7,0.856,0.871,2.551,1.955,1,1.67654970545393,0.65277779,0,0,0,0,2,0,"left",1,1,-10.1344324357438,0.278958759643274,NA,2018,2.59225886480332,0.329594486342073,4.31962800367246,2.46580971615072,-1.85381828752174,3.95496370092743,1.44423820735746,0.365331513789836,0.00219623058964162,0.000996413110190995,0.624614856218757,0.000382997279814001,0.00094291398433625,0.000559916704522249,NA,0.33112582781457,3,8.25886081200479
"114","ARE",1,0,0,0,2016,2020,38663.4005026605,0.097,0.031,0.004,1,-8,0.036,0.251,-1.394,-1.784,1,-1.53089864119351,0.69444448,0,0,0,0,0,0,"no change",1,0,1.93443148259161,-0.320590314360061,2.32999992370605,2018,20.7974984025486,0.367262048656977,21.9933258310157,14.7582745557873,-7.23505127522834,24.6760227518078,11.8065075809259,0.478481853328961,0,0.0000198161608380803,1.01981616083808,0,0,0,NA,NA,3,10.5626487080938
"115","UGA",NA,NA,0,0,2016,2021,843.62954532648,0.306,0.229,-0.022,0,-1,0.515,0.772,0.644,-0.865,1,0.126079744222837,0.44444445,0,0,0,0,0,0,"no change",1,0,-0.360468367685613,2.73474072805178,NA,2018,0.143462178127508,0.519979538604867,14.9284985044526,9.78363413968594,-5.14486436476664,0,0,1,0.0013016201237807,0.000779898965540987,0.773324384484993,0.000472508778623188,0.000836187365314669,0.000363678586691481,0.907,NA,4,6.73771347090086
"116","UKR",1,0,0,1,2016,2021,2828.88506924235,0.41,0.281,0.107,1,4,0.665,0.791,1.319,1.726,1,0.674882693268977,0.44444445,0,0,0,0,0,2,"center",1,1,-3.35052826556826,3.79371893400872,9.47999954223633,2018,4.15418063140229,0.403546945468694,4.13106956959739,2.40166048672658,-1.72940908287081,3.10065689594598,1.22966061384838,0.396775225350333,0.00157019819376334,0.000163027758694215,0.452505087551744,0.000565506907145547,0.000927067670247705,0.000361560763102158,0.768157768157768,0.451512800620636,1,7.94763794454572
"117","GBR",1,0,0,1,2016,2020,45039.2359520486,0.857,0.633,0.016,1,8,0.904,0.963,1.785,2.447,1,1.05375998846231,0.8888889,0.143,0.125,1,0,1,1,"no change",1,0,1.0999959123708,1.03685521942496,3.74000000953674,2018,5.39870813789348,0.389993665812156,0.75269642252564,0.491655077781755,-0.261041344743885,0.788268352250717,0.389554944105975,0.494831628548451,0.000273309718283001,0.00000121965895405333,0.786312744321273,0,0,0,0.784784784784785,NA,5,10.7152892989052
"118","USA",1,0,0,1,2016,2021,56863.3714957652,0.891,0.648,-0.0700000000000001,0,8,0.943,0.99,3.549,2.647,1,2.48796502863622,0.81018519,0.2,0.222,1,1,3,1,"no change",1,1,-4.32861965716218,1.69701129870931,8.05000019073486,2018,15.2408745833286,0.481034463430793,0.922770541503624,0.497384232772908,-0.425386308730716,0.636600805372849,0.342239394833052,0.538329613044224,0.00650763029693883,0.000823976128030772,0.242949646678058,0,0,0,0.652043868394816,0.525808936825886,5,10.9484066781317
"119","UZB",1,0,0,1,2018,2021,2615.025134487,0.189,0.058,0.027,1,-9,0.115,0.305,-0.214,-0.82,1,-0.571509782120257,NA,0.125,0.167,1,1,0,0,"no change",1,0,-0.221646202901013,3.74451756655768,5.28999996185303,2018,3.4011912817354,0.318519038955527,16.2459688070857,13.3876139756719,-2.85835483141379,9.37920169858454,6.77367046144565,0.722230787688493,0.0000143310276302213,0.000511581982382008,1.4902255192898,0.00041659287200611,0.00115998137644678,0.000743388504440668,NA,NA,1,7.86902898811134
"120","VUT",1,1,0,1,2016,2021,2695.66618597973,0.753,0.461,0.024,1,NA,0.886,0.794,1.716,2.671,1,0.997660131448707,NA,0,0,0,0,0,0,"no change",1,0,-9.01902421865748,1.41522700357308,NA,2018,0.615016656701119,0.486688943340768,0.805087128516643,0.705014499949597,-0.100072628567047,0,0,1,0.0584368573424219,0.0704830234303182,1.20267165234691,0.00163362723874991,0.00239416390272376,0.000760536663973841,NA,NA,9,7.89940064610931
"121","VEN",0,1,0,0,2018,2021,17300,0.217,0.163,0.002,1,-3,0.357,0.419,-1.592,-0.835,1,-1.69188083958038,0.21527778,1,1,0,0,0,0,"no change",1,0,NA,NA,7.53000020980835,2018,4.782754886893,0.421695854639809,19.7274647855109,NA,NA,10.0323493630606,0,0.0000996676148526889,0.00103775152008,0.0000333169718619582,0.507086836486027,0,0,0,0.853,NA,2,9.75846178048587
"122","VNM",1,1,0,1,2016,2020,2085.10134910739,0.217,0.189,-0.004,0,-7,0.048,0.74,0.788,-0.67,1,0.243157706686014,0.52777779,0.875,1,1,1,3,3,"no change",1,0,6.00103665097893,6.01639837930368,1.67999994754791,2018,2.69880592228919,0.490791446680879,8.75147497467158,3.83763672008724,-4.91383825458434,6.05558636472389,1.59557824686135,0.263610250183254,0.00938359456651195,0.00813392058348836,0.879649193252026,0.000388705242441665,0.0003161627630139,-0.0000725424794277641,0.823,NA,7,7.64257274173614
