"","iso","ghg_ambition_n","new_pm_n","change_cond","cw_2030","year1","year2","gdp_pc","polyarchy","participdem","dem_change","dem_change_d","polity","v2x_frassoc_thick","v2x_cspart","v2cscnsult","v2csreprss","stake_consult","consult_index","qog_2020","first_soc","last_soc","pol_change","right_change","first","last","ideo_change","any_elect","any_change","gdp_growth","long_gdp_growth","unemployment","year","co2pc","gain","pre_rents","post_rents","change_rents","pre_fossil","post_fossil","change_fossil","pre_affect","post_affect","change_affect","pre_cfinance","post_cfinance","change_cfinance","paris_support","protect_env","region","log_gdp_pc"
"69","MOZ",NA,1,0,0,2018,2021,589.85904996253,0.4,0.256,-0.044,0,5,0.772,0.717,1.166,0.351,1,0.550487358151852,0.44444445,0.143,0.143,0,0,3,3,"no change",1,0,-4.04435368981659,-0.616865368058384,NA,2018,0.225115201178573,0.433498296961949,11.3797540448154,13.4602290229651,2.08047497814969,5.1564249503714,4.82435236918687,0.935612716737523,0.0143817294366349,0.0119211360260102,0.840031420344435,0.000978842209549228,0.00133786536016292,0.000359023150613694,NA,NA,4,6.37988360999041
"70","MMR",NA,1,0,0,2017,2021,1144.47434120191,0.41,0.252,-0.284,0,8,0.655,0.641,0.486,0.615,1,-0.00238079792425985,0.3611111,0.4,0.167,1,0,0,0,"no change",0,0,2.48283933592906,6.08461268337797,1.48000001907349,2018,0.605492802809427,0.565127233472119,9.34669766002623,5.99642532429771,-3.35027233572851,2.75849672370653,2.12863318978348,0.77174695352527,0.0030745145296556,0.000482539982203834,0.363856840223158,0.000285930254669289,0.000318615100038428,0.0000326848453691389,NA,NA,7,7.04270071992061
"71","NAM",1,0,0,0,2016,2021,4896.61525956702,0.725,0.457,-0.091,0,6,0.89,0.702,0.448,2.496,1,-0.0332763713520424,0.6111111,0.167,0.333,1,1,3,3,"no change",1,0,-10.1707517202466,-2.72466136719636,NA,2018,1.73589837846669,0.421319653376429,1.77151022695676,2.27987501319487,0.50836478623811,0,0,1,0.0237023938991528,0.000239153456091454,0.0501632943410377,0.000193805370805847,0.000358717044452699,0.000164911673646852,NA,NA,4,8.49629948205812
"72","NRU",NA,1,0,0,2016,2021,8365.07289010124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,0.495884603387807,-0.798959494611665,NA,2018,6.55553474433414,0.586392245804017,0,0,0,0,0,1,0,0,1,0.0018599538021215,0.0202062597424526,0.0183463059403311,NA,NA,9,9.03182032708305
"73","NPL",1,1,0,0,2016,2020,901.749607715071,0.656,0.369,-0.0690000000000001,0,6,0.858,0.883,1.525,1.876,1,0.842369222903799,NA,0.714,0.857,1,1,3,0,"no change",1,1,4.74451271488148,5.84871082835983,NA,2018,0.428179218238,0.477194327046979,1.23325834216039,0.740552905736881,-0.492705436423505,0.00535010880203997,0.00300557389360307,0.630788230323909,0.00280649842745053,0.00695079548643887,2.08874261686326,0.000721271996701234,0.000663228743080184,-0.0000580432536210504,NA,NA,8,6.8043368847573
"74","NZL",1,0,0,1,2016,2021,38630.7265886928,0.891,0.697,-0.004,0,10,0.915,0.85,1.792,2.607,1,1.05945127830427,0.94444448,0,0.25,1,1,1,3,"left",1,1,-0.240800771195083,0.0275641486978628,4.59999990463257,2018,6.5726645716851,0.451625729995842,1.56750191836734,1.4937618822214,-0.0737400361459335,0.900678264557382,0.356144236642883,0.396088328488431,0.0000795581788492252,0.000135607657198887,1.05191890483328,0,0,0,NA,NA,5,10.5618032644064
"75","NIC",1,1,NA,0,2018,2020,2049.8516660809,0.237,0.152,0.002,1,6,0.298,0.362,-1.583,-1.987,0,-1.85408260007624,0.33333334,0.667,0.6,1,0,3,3,"no change",0,0,-4.85210864564721,-4.56925348119202,NA,2018,0.805815232908442,0.493192867805386,2.32894588814311,1.30501329625279,-1.02393259189032,0,0,1,0.00810690214684568,0.0701934047182648,7.81752165229136,0.000732840313286578,0.0000928300284744432,-0.000640010284812135,NA,0.633333333333333,2,7.62552271150517
"76","NER",1,1,0,0,2016,2021,484.238632609296,0.579,0.334,-0.0569999999999999,0,5,0.82,0.924,2.435,1.499,1,1.5822369023586,0.31944445,0.556,0.625,1,1,0,0,"no change",1,0,-0.25361544353764,1.99706262597826,NA,2018,0.102037038018956,0.63269676238318,7.95503994538629,7.72752174263952,-0.227518202746773,2.89546883719845,1.03625705607528,0.35811089791615,0.00291485307416956,0.00532780720109146,1.61635879590034,0.000442193549195324,0.000708116277702678,0.000265922728507354,NA,NA,4,6.18257782779227
"77","NGA",1,1,0,1,2017,2021,2687.48005643212,0.563,0.376,-0.072,0,7,0.852,0.853,1.001,0.685,1,0.416335526162795,0.31944445,0,0,0,0,3,3,"no change",1,0,-4.2601131442069,-0.379752402189268,NA,2018,0.667110198543523,0.454871388841821,16.6935590266011,9.75406011665688,-6.93949890994423,10.9320771969559,6.40436133270789,0.585869944693277,0.00153055828187926,0.00190835568228815,1.14929409178765,0.0000167091946469615,0.0000913954603343591,0.0000746862656873976,0.776504297994269,NA,4,7.89635925154592
"78","MKD",1,1,0,1,2018,2021,4843.49238734655,0.57,0.391,0.016,1,9,0.835,0.638,0.74,2.821,1,0.204131719198288,NA,0.333,0.333,0,0,0,3,"no change",1,1,-5.0180405130877,3.88655214622943,16.5499992370605,2018,3.54972529364705,0.314798622333691,1.28404717288627,0.847087916856859,-0.43695925602941,0.421109606367929,0,0.00236905293059916,0.0207131196402447,0,0.0460551047739139,0.00103863067059222,0.000989764173154365,-0.0000488664974378572,NA,NA,1,8.4853913071395
"79","NOR",1,0,0,1,2016,2020,74355.5158575643,0.897,0.649,0.001,1,10,0.896,0.989,3.602,2.403,0,0.253727244963939,0.94444442,0.333,0,1,0,1,1,"no change",1,0,0.0679926261787642,0.453550486030423,3.69000005722046,2018,7.0313611886935,0.389296379234829,7.90187384711846,6.27423982951809,-1.62763401760038,8.63177959939386,4.98033106955013,0.577025164629465,0.0000836356464262206,0.0000539497693018177,0.972605296602871,0,0,0,NA,NA,5,11.2166131368644
"80","OMN",1,0,1,0,2019,2021,16033.4638283192,0.177,0.124,-0.001,0,NA,0.047,0.372,-0.197,-1.097,1,-0.557688078218354,0.6111111,0,0,0,0,0,0,"no change",0,0,-5.69606110307078,-4.02112716672669,2.94000005722046,2018,15.1921243629744,0.409779441451109,36.7633427264241,26.6771863914576,-10.0861563349665,35.1346621931787,13.3378187874856,0.379637609052242,0.000453639249741509,0.00000979120835652218,0.694664242545795,0,0,0,NA,NA,3,9.68243330637303
"81","PAK",1,1,1,1,2016,2021,1356.66783065763,0.405,0.252,-0.042,0,7,0.705,0.655,1.16,-0.071,1,0.545609109715886,0.44444445,0.167,0,1,0,0,2,"no change",1,1,-2.87594561462522,-0.880818100199619,NA,2018,0.981820104961691,0.492726342440773,1.54724620378653,1.06924013711836,-0.478006066668163,1.78049161279642,0.697329520497118,0.391991472472298,0.00793166774569398,0.00118996203101141,0.245190718392677,0.000150122615318865,0.000318439153783603,0.000168316538464738,0.453333333333333,0.403007518796992,8,7.21278684774676
"82","PSE",1,1,0,0,2017,2021,3272.15432360708,0.258,0.175,-0.005,0,NA,0.465,0.654,0.85,-0.78,1,0.293566273857659,NA,0,0,0,0,NA,NA,NA,0,0,-13.6319590509676,-1.15161366535136,25.8899993896484,2018,NA,NA,0,0,0,0,0,1,0.00231288640689388,0.00312287319323569,1.24449579214557,0,0,0,0.671,NA,3,8.093203861527
"83","PAN",0,1,0,0,2016,2020,13630.3228683958,0.759,0.487,-0.017,0,9,0.892,0.696,0.45,1.942,1,-0.0316502885400537,0.44444445,0,0.2,1,1,0,0,"no change",1,0,1.29253637338742,1.94510324446577,6.40999984741211,2018,2.42765632047745,0.446480916577255,0.178793070592662,0.108896763091438,-0.0698963075012237,0,0,1,0.00133883676093166,0.000685930641411992,0.720841518131609,0.0000246369894132478,0.000285043481462119,0.000260406492048871,NA,NA,2,9.52005221248015
